Player,Team,Age,Tgt,Rec,Rec Yds,Rec TD,Fmb,2023 Fantasy Points
Sam LaPorta,DET,22,120,86,889,10,0,191.9
Trey McBride,ARI,24,106,81,825,3,1,139.0
Dalton Kincaid,BUF,24,91,73,673,2,1,113.8
Mark Andrews,BAL,28,61,45,544,6,1,110.9
Kyle Pitts,ATL,23,90,53,667,3,0,111.2
T.J. Hockenson,MIN,26,127,95,960,5,1,171.5
George Kittle,SFO,30,90,65,1020,6,0,170.5
Travis Kelce,KAN,34,121,93,984,5,1,172.9
Cole Kmet,CHI,24,90,73,719,6,1,142.4
David Njoku,CLE,27,123,81,882,6,2,160.7
Evan Engram,JAX,29,143,114,963,4,3,171.3
Dalton Schultz,HOU,27,88,59,635,5,1,121.0
